turn_id,user_id,message,timestamp,ground_truth,v1_classified,v2_classified,v1_correct,v2_exact_correct,v2_semantic_correct,memories_found,has_prediction,pred_intent,pred_weight,latency_ms,has_error
0,user_pm,다음 주 수요일 2시에 팀 미팅 가능한지 확인해줘,2026-04-01T20:00:00,scheduling,scheduling,buffering,1,0,0,0,0,,,3314,0
1,user_pm,내일 오전 회의 일정 잡아줘,2026-04-01T20:05:00,scheduling,scheduling,buffering,1,0,0,1,1,scheduling,1.0,1718,0
2,user_pm,QA에서 발견된 버그 3건 트래킹 시작,2026-04-01T20:10:00,issue_tracking,issue_tracking,buffering,1,0,0,2,0,,,1859,0
3,user_dev,이 코드 리팩토링 방향 어때?,2026-04-01T18:00:00,code_review,knowledge_lookup,buffering,0,0,0,0,0,,,1447,0
4,user_dev,MongoDB 샤딩 전략 결정해야 해,2026-04-01T18:05:00,knowledge_lookup,knowledge_lookup,buffering,1,0,0,1,1,knowledge_lookup,1.0,1696,0
5,user_new,개발환경 세팅 가이드 어디 있어?,2026-04-01T20:00:00,onboarding,knowledge_lookup,buffering,0,0,0,0,1,knowledge_lookup,1.0,1908,0
6,user_new,팀 소개 문서 읽었습니다,2026-04-01T20:05:00,onboarding,knowledge_lookup,buffering,0,0,0,1,1,knowledge_lookup,1.0,1842,0
7,user_new,ㅎㅎ,2026-04-01T20:10:00,,knowledge_lookup,buffering,0,0,0,2,1,knowledge_lookup,1.0,1402,0
8,user_analyst,SQL 쿼리 최적화 도움 필요,2026-04-01T18:00:00,data_analysis,knowledge_lookup,buffering,0,0,0,0,1,knowledge_lookup,1.0,1479,0
9,user_analyst,프로젝트 제안서 검토 요청,2026-04-01T18:05:00,document_drafting,knowledge_lookup,buffering,0,0,0,1,1,knowledge_lookup,1.0,1875,0
10,user_pm,스프린트 플래닝 일정 조정해야 해,2026-04-02T20:00:00,scheduling,scheduling,buffering,1,0,0,3,0,,,1880,0
11,user_pm,다음 달 프로젝트 마일스톤 일정 정리해줘,2026-04-02T20:05:00,scheduling,scheduling,buffering,1,0,0,4,1,scheduling,0.667,2746,0
12,user_pm,블로커 이슈 해결 상황 공유해줘,2026-04-02T20:10:00,issue_tracking,issue_tracking,buffering,1,0,0,5,1,scheduling,1.0,1844,0
13,user_dev,유닛 테스트 커버리지 80% 넘겼어,2026-04-02T20:00:00,code_review,knowledge_lookup,buffering,0,0,0,2,1,knowledge_lookup,1.0,2485,0
14,user_dev,PostgreSQL 인덱스 최적화 방법 알려줘,2026-04-02T20:05:00,knowledge_lookup,knowledge_lookup,buffering,1,0,0,3,1,knowledge_lookup,1.0,1842,0
15,user_new,팀 소개 문서 읽었습니다,2026-04-02T18:00:00,onboarding,knowledge_lookup,buffering,0,0,0,3,1,knowledge_lookup,1.0,1712,0
16,user_new,코드 리포지토리 접근 권한 필요해,2026-04-02T18:05:00,onboarding,knowledge_lookup,buffering,0,0,0,3,1,knowledge_lookup,1.0,1943,0
17,user_analyst,시각화 차트 어떤 타입이 좋을까?,2026-04-02T18:00:00,data_analysis,knowledge_lookup,buffering,0,0,0,2,1,knowledge_lookup,1.0,1401,0
18,user_analyst,API 문서 업데이트해야 해,2026-04-02T18:05:00,document_drafting,knowledge_lookup,buffering,0,0,0,3,1,knowledge_lookup,1.0,1994,0
19,user_analyst,ㅎㅎ,2026-04-02T18:10:00,,knowledge_lookup,buffering,0,0,0,4,1,knowledge_lookup,1.0,1551,0
20,user_pm,연차 신청 했는데 승인 됐나?,2026-04-03T19:00:00,scheduling,knowledge_lookup,buffering,0,0,0,5,1,knowledge_lookup,1.0,1466,0
21,user_pm,팀 워크숍 날짜 투표 결과 알려줘,2026-04-03T19:05:00,scheduling,knowledge_lookup,buffering,0,0,0,5,1,knowledge_lookup,1.0,1851,0
22,user_pm,QA에서 발견된 버그 3건 트래킹 시작,2026-04-03T19:10:00,issue_tracking,issue_tracking,buffering,1,0,0,5,0,,,1689,0
23,user_dev,CI 파이프라인 통과 확인해줘,2026-04-03T20:00:00,code_review,knowledge_lookup,buffering,0,0,0,4,1,knowledge_lookup,0.929,1813,0
24,user_dev,MongoDB 샤딩 전략 결정해야 해,2026-04-03T20:05:00,knowledge_lookup,knowledge_lookup,buffering,1,0,0,5,1,knowledge_lookup,0.933,1517,0
25,user_dev,고고,2026-04-03T20:10:00,,knowledge_lookup,buffering,0,0,0,5,1,knowledge_lookup,0.938,1344,0
26,user_new,사내 시스템 계정 발급 요청,2026-04-03T18:00:00,onboarding,knowledge_lookup,buffering,0,0,0,4,1,knowledge_lookup,0.941,1282,0
27,user_new,코드 리포지토리 접근 권한 필요해,2026-04-03T18:05:00,onboarding,knowledge_lookup,buffering,0,0,0,5,1,knowledge_lookup,0.944,1672,0
28,user_analyst,사용자 행동 퍼널 분석해줘,2026-04-03T20:00:00,data_analysis,data_analysis,buffering,1,0,0,5,0,,,1281,0
29,user_analyst,API 문서 업데이트해야 해,2026-04-03T20:05:00,document_drafting,knowledge_lookup,dev_ops_request,0,0,0,5,1,knowledge_lookup,0.895,3967,0
30,user_pm,다음 주 수요일 2시에 팀 미팅 가능한지 확인해줘,2026-04-04T19:00:00,scheduling,scheduling,schedule_management,1,0,1,5,0,,,2250,0
31,user_pm,스프린트 플래닝 일정 조정해야 해,2026-04-04T19:05:00,scheduling,scheduling,strategic_planning,1,0,1,5,1,scheduling,0.6,1380,0
32,user_pm,이번 스프린트 미해결 이슈 몇 개야?,2026-04-04T19:10:00,issue_tracking,issue_tracking,task_status,1,0,0,5,1,scheduling,0.667,1551,0
33,user_dev,PR 코멘트 반영 완료했습니다,2026-04-04T19:00:00,code_review,code_review,schedule_management,1,0,0,5,0,,,1400,0
34,user_dev,PostgreSQL 인덱스 최적화 방법 알려줘,2026-04-04T19:05:00,knowledge_lookup,knowledge_lookup,technical_consulting,1,0,1,5,1,knowledge_lookup,0.85,1492,0
35,user_new,사내 시스템 계정 발급 요청,2026-04-04T18:00:00,onboarding,knowledge_lookup,dev_ops_request,0,0,0,5,1,knowledge_lookup,0.857,1026,0
36,user_new,개발환경 세팅 가이드 어디 있어?,2026-04-04T18:05:00,onboarding,knowledge_lookup,dev_ops_request,0,0,0,5,1,knowledge_lookup,0.864,1540,0
37,user_analyst,대시보드 KPI 지표 정의 변경,2026-04-04T18:00:00,data_analysis,data_analysis,strategic_planning,1,0,0,5,1,knowledge_lookup,1.0,1529,0
38,user_analyst,릴리스 가이드 문서화 진행 중,2026-04-04T18:05:00,document_drafting,knowledge_lookup,dev_ops_request,0,0,0,5,1,knowledge_lookup,0.826,1454,0
39,user_pm,출장 일정 확인 좀 해줘,2026-04-05T19:00:00,scheduling,scheduling,schedule_management,1,0,1,5,0,,,1001,0
40,user_pm,"이번 주 스탠드업 시간 변경됨, 10시로",2026-04-05T19:05:00,scheduling,project_status,schedule_management,0,0,1,5,0,,,2250,0
41,user_pm,스프린트 번다운 차트 확인해줘,2026-04-05T19:10:00,issue_tracking,knowledge_lookup,schedule_management,0,0,0,5,1,knowledge_lookup,0.826,1518,0
42,user_dev,PR #456 리뷰해줄 수 있어?,2026-04-05T19:00:00,code_review,code_review,schedule_management,1,0,0,5,1,knowledge_lookup,1.0,1473,0
43,user_dev,PostgreSQL 인덱스 최적화 방법 알려줘,2026-04-05T19:05:00,knowledge_lookup,knowledge_lookup,technical_consulting,1,0,1,5,1,knowledge_lookup,0.792,1411,0
44,user_new,팀 소개 문서 읽었습니다,2026-04-05T19:00:00,onboarding,knowledge_lookup,schedule_management,0,0,1,5,1,knowledge_lookup,0.8,1388,0
45,user_new,사내 시스템 계정 발급 요청,2026-04-05T19:05:00,onboarding,knowledge_lookup,dev_ops_request,0,0,0,5,1,knowledge_lookup,0.808,1049,0
46,user_new,점심 뭐 먹지?,2026-04-05T19:10:00,,knowledge_lookup,casual_chat,0,0,0,5,1,knowledge_lookup,0.815,1114,0
